,EWP,MyPortfolio,index_sp
2017-04-11,10000.0,10000.0,10000.0
2017-05-10,10227.50001406637,10453.243253361747,10194.792431514177
2017-06-08,10485.886833098246,11226.785716299642,10339.92135530832
2017-07-07,10392.74142712154,11325.491573111094,10303.341439960635
2017-08-07,10714.594669892364,11165.208557202357,10540.109446210556
2017-09-05,10694.668586264104,10977.808914040103,10442.140162054407
2017-10-04,11032.651999309031,11654.591286462883,10781.5512012499
2017-11-02,11354.320881984533,11762.607868865545,10960.455376226922
2017-12-01,11809.274370416346,11579.079109821845,11225.432868900723
2018-01-01,11955.288563985583,11735.244438351254,
2018-01-30,12875.591993794756,11346.63793864384,11991.052250042863
2018-02-28,12354.23015868536,11952.861271936865,11529.667362058806
2018-03-29,11785.032705171374,11657.018415651406,11219.698035998652
2018-04-27,12076.959048028419,11809.873114881424,11343.073179641748
2018-05-28,12363.351543054823,11591.702816382664,
2018-06-26,12296.30070400216,12075.004567439295,11568.88079897248
2018-07-25,12859.960628696688,12198.64298781933,12091.487024849801
2018-08-23,13216.781740774008,12314.844916753642,12137.837626747949
2018-09-21,13640.104383170268,12783.250677691552,12446.659778782114
2018-10-22,13058.747358517188,11867.281221836984,11708.315341751544
2018-11-20,12873.117825423073,11230.797196189893,11224.030536818322
2018-12-19,12234.514143724897,11198.461946843863,10650.782697338047
2019-01-17,12608.028824760424,11472.678405477578,11198.837309045051
2019-02-15,13087.92579022312,12218.485585760689,11792.096385852086
2019-03-18,13651.912763170134,12502.979225103829,12035.70387268733
2019-04-16,13998.637966451612,12750.941034974845,12350.602105593323
2019-05-15,13824.534176934336,12021.6711505787,12112.26166189006
2019-06-13,14145.01402096012,11896.558990861415,12285.089755995254
2019-07-12,14776.588230231731,11982.104507506809,12803.957812623332
2019-08-12,14389.090681570715,11595.99831926376,12247.108545793039
2019-09-10,14763.518511184615,12015.569893169864,12657.89434651688
2019-10-09,14324.570484136108,12021.407341104461,12403.027751135427
2019-11-07,15197.543021617048,12887.80390201359,13107.341778926702
2019-12-06,15428.221168141234,13273.255145546458,13365.352211986972
2020-01-06,16039.040961597757,13718.85405240121,13791.773185647296
2020-02-04,16053.542267321072,14030.534308791002,14009.763218509786
2020-03-04,14835.931763304496,14176.870650113613,13298.269499391303
2020-04-02,12631.081168662171,14089.479728447237,10735.49724652303
2020-05-01,14696.356007266682,15883.662325761426,12026.229833308145
2020-06-01,15254.826386815212,15770.742220436343,12982.22409245932
2020-06-30,15186.016732879732,15869.938292671703,13171.53684912784
2020-07-29,16062.902260422423,16389.044044183072,13843.434394248032
2020-08-27,17139.54359551441,17944.48590683856,14804.059875845898
2020-09-25,16336.922061989853,18746.2735427591,14013.458861416295
2020-10-26,17187.78870770427,19086.300126507416,14448.971137371185
2020-11-24,17891.544592531158,19423.211598288173,15444.985796720139
2020-12-23,18556.949703927283,17916.848207842795,15676.9535123803
2021-01-21,19414.319145292025,17498.959456910048,16369.71178445409
2021-02-19,19561.36258815048,18114.914706497115,16597.60008289525
2021-03-22,19636.218774613208,16953.392315917394,16741.53930632067
2021-04-20,20851.82484798573,17301.46956650672,17567.23181410221
2021-05-19,20843.23720510827,16466.336743310727,17485.406981767504
2021-06-17,21128.54645714124,16694.11619682669,17936.5098298604
2021-07-16,21962.40214317904,16509.43185614433,18383.876583159796
2021-08-16,22717.376541591246,15764.089685336872,19031.982195361245
2021-09-14,22633.0474471961,16310.733752100254,18876.232058161928
2021-10-13,22001.343220046794,16542.91192268435,18539.539593217898
2021-11-11,23590.22660027349,16805.09907736723,19752.35562228849
